time open high low close volume
2021-08-13 20:00:00 26.3 26.3 26.3 26.3 592
2021-08-13 18:45:00 26.3 26.3 26.3 26.3 202
2021-08-13 18:15:00 26.35 26.35 26.35 26.35 533
2021-08-13 16:15:00 26.3 27.13 26.3 27.13 4938
2021-08-13 16:00:00 26.2572 26.35 26.2301 26.31 78830
2021-08-13 15:45:00 26.23 26.27 26.15 26.25 34743
2021-08-13 15:30:00 26.18 26.27 26.18 26.22 9897
2021-08-13 15:15:00 26.105 26.23 26.0979 26.2 10648
2021-08-13 15:00:00 26.07 26.1067 26.06 26.09 4634
2021-08-13 14:45:00 26.1 26.15 26.04 26.0639 19479
2021-08-13 14:30:00 26.185 26.185 26.095 26.11 3400
2021-08-13 14:15:00 26.11 26.185 26.11 26.185 4682
2021-08-13 14:00:00 26.19 26.2 26.11 26.11 6066
2021-08-13 13:45:00 26.25 26.28 26.14 26.14 8155
2021-08-13 13:30:00 26.28 26.2879 26.26 26.26 5542
2021-08-13 13:15:00 26.33 26.335 26.27 26.285 4894
2021-08-13 13:00:00 26.3577 26.41 26.32 26.32 9220
2021-08-13 12:45:00 26.38 26.4 26.34 26.35 3894
2021-08-13 12:30:00 26.28 26.38 26.275 26.3666 6246
2021-08-13 12:15:00 26.2 26.24 26.195 26.24 5282
2021-08-13 12:00:00 26.2 26.2599 26.2 26.2171 2632
2021-08-13 11:45:00 26.23 26.2693 26.16 26.22 4936
2021-08-13 11:30:00 26.19 26.3 26.19 26.265 12484
2021-08-13 11:15:00 26.16 26.19 26.02 26.15 19045
2021-08-13 11:00:00 26.13 26.24 26.12 26.145 9913
2021-08-13 10:45:00 26.25 26.26 26.11 26.13 7469
2021-08-13 10:30:00 26.15 26.24 26.15 26.22 5919
2021-08-13 10:15:00 26.28 26.28 26.02 26.15 13539
2021-08-13 10:00:00 26.49 26.49 26.28 26.28 13778
2021-08-13 09:45:00 26.79 26.85 26.44 26.48 22346
2021-08-12 16:15:00 26.6 26.6 26.6 26.6 6689
2021-08-12 16:00:00 26.63 26.67 26.6 26.6 38459
2021-08-12 15:45:00 26.45 26.64 26.41 26.6373 24078
2021-08-12 15:30:00 26.41 26.49 26.4 26.44 12459
2021-08-12 15:15:00 26.38 26.44 26.38 26.43 4563
2021-08-12 15:00:00 26.4418 26.46 26.34 26.37 4407
2021-08-12 14:45:00 26.36 26.45 26.33 26.44 5335
2021-08-12 14:30:00 26.28 26.3799 26.28 26.3799 3751
2021-08-12 14:15:00 26.3 26.31 26.25 26.28 12098
2021-08-12 14:00:00 26.27 26.33 26.23 26.298 4294
2021-08-12 13:45:00 26.25 26.31 26.25 26.3 10495
2021-08-12 13:30:00 26.22 26.25 26.2 26.22 4089
2021-08-12 13:15:00 26.33 26.36 26.22 26.25 5410
2021-08-12 13:00:00 26.425 26.425 26.26 26.31 4101
2021-08-12 12:45:00 26.41 26.43 26.38 26.43 2540
2021-08-12 12:30:00 26.3499 26.41 26.34 26.38 4948
2021-08-12 12:15:00 26.26 26.38 26.23 26.32 5892
2021-08-12 12:00:00 26.115 26.2 26.02 26.19 9035
2021-08-12 11:45:00 26.24 26.24 26.12 26.12 2472
2021-08-12 11:30:00 26.18 26.27 26.18 26.27 2956
2021-08-12 11:15:00 26.1916 26.1916 26.06 26.1617 5771
2021-08-12 11:00:00 26.14 26.24 26.09 26.24 17968
2021-08-12 10:45:00 26.27 26.32 26.125 26.125 6396
2021-08-12 10:30:00 26.385 26.48 26.3 26.34 9185
2021-08-12 10:15:00 26.41 26.53 26.4 26.425 12913
2021-08-12 10:00:00 26.739 26.739 26.22 26.365 14093
2021-08-12 09:45:00 26.43 26.67 26.22 26.67 19223
2021-08-12 08:45:00 26.02 26.02 26.02 26.02 1200
2021-08-11 18:30:00 26.48 26.48 26.48 26.48 2000
2021-08-11 18:15:00 26.48 26.48 26.48 26.48 2000
2021-08-11 18:00:00 26.48 26.48 26.48 26.48 1000
2021-08-11 16:45:00 26.4 26.46 26.4 26.46 800
2021-08-11 16:15:00 26.48 26.48 26.48 26.48 7554
2021-08-11 16:00:00 26.585 26.585 26.46 26.48 66891
2021-08-11 15:45:00 26.59 26.67 26.57 26.585 26168
2021-08-11 15:30:00 26.45 26.65 26.45 26.6 9960
2021-08-11 15:15:00 26.43 26.5 26.42 26.43 11216
2021-08-11 15:00:00 26.505 26.53 26.4 26.425 4597
2021-08-11 14:45:00 26.44 26.52 26.41 26.48 10080
2021-08-11 14:30:00 26.3 26.47 26.29 26.47 19743
2021-08-11 14:15:00 26.2901 26.32 26.29 26.3 4334
2021-08-11 14:00:00 26.45 26.45 26.33 26.33 4187
2021-08-11 13:45:00 26.38 26.48 26.34 26.45 5178
2021-08-11 13:30:00 26.46 26.5 26.365 26.385 12567
2021-08-11 13:15:00 26.44 26.46 26.31 26.44 10999
2021-08-11 13:00:00 26.3 26.45 26.29 26.45 6973
2021-08-11 12:45:00 26.2 26.3 26.16 26.3 12088
2021-08-11 12:30:00 26.205 26.25 26.15 26.17 4677
2021-08-11 12:15:00 26.07 26.25 26.07 26.21 15697
2021-08-11 12:00:00 26.05 26.09 25.93 26.05 9873
2021-08-11 11:45:00 25.96 26.09 25.96 26.09 7128
2021-08-11 11:30:00 25.85 26.035 25.85 25.9 12614
2021-08-11 11:15:00 25.82 25.93 25.795 25.87 17199
2021-08-11 11:00:00 25.9 25.9499 25.815 25.84 9620
2021-08-11 10:45:00 25.83 25.89 25.72 25.88 9462
2021-08-11 10:30:00 25.69 25.78 25.57 25.78 9457
2021-08-11 10:15:00 25.567 25.73 25.4 25.73 16122
